2019-03-18/07:16:31.437  INFO: parse.SqlCommandHandler - Lexing successful for the query 
2019-03-18/07:16:31.926 TRACE: sql.parser - Attempting to reduce [TAB1.ACCOUNT_ID, =, TAB2.ACCOUNT_ID]
2019-03-18/07:16:31.938 TRACE: pretty.SqlPrettyWriter - Token is '`TAB1`'; result is false
2019-03-18/07:16:31.938 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.938 TRACE: pretty.SqlPrettyWriter - Token is '`ACCOUNT_ID`'; result is false
2019-03-18/07:16:31.938 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.938 TRACE: pretty.SqlPrettyWriter - Token is '='; result is false
2019-03-18/07:16:31.938 TRACE: pretty.SqlPrettyWriter - Token is '`TAB2`'; result is false
2019-03-18/07:16:31.938 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.938 TRACE: pretty.SqlPrettyWriter - Token is '`ACCOUNT_ID`'; result is false
2019-03-18/07:16:31.938 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.938 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.939 DEBUG: sql.parser - Reduced `TAB1`.`ACCOUNT_ID` = `TAB2`.`ACCOUNT_ID`
2019-03-18/07:16:31.940 TRACE: pretty.SqlPrettyWriter - Token is '0'; result is false
2019-03-18/07:16:31.940 TRACE: sql.parser - Attempting to reduce [TAB2.ACCOUNT_ID, >, 0]
2019-03-18/07:16:31.941 TRACE: pretty.SqlPrettyWriter - Token is '`TAB2`'; result is false
2019-03-18/07:16:31.941 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.941 TRACE: pretty.SqlPrettyWriter - Token is '`ACCOUNT_ID`'; result is false
2019-03-18/07:16:31.941 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.941 TRACE: pretty.SqlPrettyWriter - Token is '>'; result is false
2019-03-18/07:16:31.941 TRACE: pretty.SqlPrettyWriter - Token is '0'; result is false
2019-03-18/07:16:31.941 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.941 DEBUG: sql.parser - Reduced `TAB2`.`ACCOUNT_ID` > 0
2019-03-18/07:16:31.943 TRACE: pretty.SqlPrettyWriter - Token is 'SELECT'; result is false
2019-03-18/07:16:31.943 TRACE: pretty.SqlPrettyWriter - Token is '`S2`'; result is false
2019-03-18/07:16:31.943 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.943 TRACE: pretty.SqlPrettyWriter - Token is '`ACC_ID`'; result is false
2019-03-18/07:16:31.943 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.943 TRACE: pretty.SqlPrettyWriter - Token is ','; result is false
2019-03-18/07:16:31.943 TRACE: pretty.SqlPrettyWriter - Token is '`TAG1`'; result is false
2019-03-18/07:16:31.943 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.943 TRACE: pretty.SqlPrettyWriter - Token is ','; result is false
2019-03-18/07:16:31.944 TRACE: pretty.SqlPrettyWriter - Token is '`S1`'; result is false
2019-03-18/07:16:31.944 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.944 TRACE: pretty.SqlPrettyWriter - Token is '`ID`'; result is false
2019-03-18/07:16:31.944 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.944 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.945 TRACE: pretty.SqlPrettyWriter - Token is 'FROM'; result is false
2019-03-18/07:16:31.946 TRACE: pretty.SqlPrettyWriter - Token is '('; result is false
2019-03-18/07:16:31.946 TRACE: pretty.SqlPrettyWriter - Token is 'SELECT'; result is false
2019-03-18/07:16:31.946 TRACE: pretty.SqlPrettyWriter - Token is '`TAB1`'; result is false
2019-03-18/07:16:31.946 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.946 TRACE: pretty.SqlPrettyWriter - Token is '`ACCOUNT_ID`'; result is false
2019-03-18/07:16:31.946 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.946 TRACE: pretty.SqlPrettyWriter - Token is 'AS'; result is false
2019-03-18/07:16:31.946 TRACE: pretty.SqlPrettyWriter - Token is '`ACC_ID`'; result is false
2019-03-18/07:16:31.946 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.946 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.946 TRACE: pretty.SqlPrettyWriter - Token is ','; result is false
2019-03-18/07:16:31.946 TRACE: pretty.SqlPrettyWriter - Token is '`TAB1`'; result is false
2019-03-18/07:16:31.947 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.947 TRACE: pretty.SqlPrettyWriter - Token is '`TAG`'; result is false
2019-03-18/07:16:31.947 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.947 TRACE: pretty.SqlPrettyWriter - Token is 'AS'; result is false
2019-03-18/07:16:31.947 TRACE: pretty.SqlPrettyWriter - Token is '`TAG1`'; result is false
2019-03-18/07:16:31.947 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.947 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.947 TRACE: pretty.SqlPrettyWriter - Token is ','; result is false
2019-03-18/07:16:31.947 TRACE: pretty.SqlPrettyWriter - Token is '`TAB2`'; result is false
2019-03-18/07:16:31.947 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.947 TRACE: pretty.SqlPrettyWriter - Token is '`ID`'; result is false
2019-03-18/07:16:31.947 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.947 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.947 TRACE: pretty.SqlPrettyWriter - Token is 'FROM'; result is false
2019-03-18/07:16:31.948 TRACE: pretty.SqlPrettyWriter - Token is '`RSTORE`'; result is false
2019-03-18/07:16:31.948 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.948 TRACE: pretty.SqlPrettyWriter - Token is '`QUERY_HISTS`'; result is false
2019-03-18/07:16:31.948 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.948 TRACE: pretty.SqlPrettyWriter - Token is 'AS'; result is false
2019-03-18/07:16:31.948 TRACE: pretty.SqlPrettyWriter - Token is '`TAB1`'; result is false
2019-03-18/07:16:31.948 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.948 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.948 TRACE: pretty.SqlPrettyWriter - Token is 'INNER JOIN'; result is false
2019-03-18/07:16:31.949 TRACE: pretty.SqlPrettyWriter - Token is '`RSTORE`'; result is false
2019-03-18/07:16:31.949 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.949 TRACE: pretty.SqlPrettyWriter - Token is '`CLUSTER_NODES`'; result is false
2019-03-18/07:16:31.949 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.949 TRACE: pretty.SqlPrettyWriter - Token is 'AS'; result is false
2019-03-18/07:16:31.949 TRACE: pretty.SqlPrettyWriter - Token is '`TAB2`'; result is false
2019-03-18/07:16:31.949 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.949 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.949 TRACE: pretty.SqlPrettyWriter - Token is 'ON'; result is false
2019-03-18/07:16:31.949 TRACE: pretty.SqlPrettyWriter - Token is '`TAB1`'; result is false
2019-03-18/07:16:31.949 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.949 TRACE: pretty.SqlPrettyWriter - Token is '`ACCOUNT_ID`'; result is false
2019-03-18/07:16:31.949 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.949 TRACE: pretty.SqlPrettyWriter - Token is '='; result is false
2019-03-18/07:16:31.949 TRACE: pretty.SqlPrettyWriter - Token is '`TAB2`'; result is false
2019-03-18/07:16:31.950 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.950 TRACE: pretty.SqlPrettyWriter - Token is '`ACCOUNT_ID`'; result is false
2019-03-18/07:16:31.950 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.950 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.950 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.950 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.950 TRACE: pretty.SqlPrettyWriter - Token is 'WHERE'; result is false
2019-03-18/07:16:31.950 TRACE: pretty.SqlPrettyWriter - Token is '`TAB2`'; result is false
2019-03-18/07:16:31.950 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.950 TRACE: pretty.SqlPrettyWriter - Token is '`ACCOUNT_ID`'; result is false
2019-03-18/07:16:31.951 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.951 TRACE: pretty.SqlPrettyWriter - Token is '>'; result is false
2019-03-18/07:16:31.951 TRACE: pretty.SqlPrettyWriter - Token is '0'; result is false
2019-03-18/07:16:31.951 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.951 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.951 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.951 TRACE: pretty.SqlPrettyWriter - Token is ')'; result is false
2019-03-18/07:16:31.951 TRACE: pretty.SqlPrettyWriter - Token is 'AS'; result is false
2019-03-18/07:16:31.951 TRACE: pretty.SqlPrettyWriter - Token is '`S1`'; result is false
2019-03-18/07:16:31.952 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.952 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.952 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.952 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.954  INFO: parse.SqlCommandHandler - Lexing successful for the query 
2019-03-18/07:16:31.959 TRACE: sql.parser - Attempting to reduce [TAB1.ACCOUNT_ID, =, TAB2.ACCOUNT_ID]
2019-03-18/07:16:31.959 TRACE: pretty.SqlPrettyWriter - Token is '`TAB1`'; result is false
2019-03-18/07:16:31.959 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.959 TRACE: pretty.SqlPrettyWriter - Token is '`ACCOUNT_ID`'; result is false
2019-03-18/07:16:31.959 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.959 TRACE: pretty.SqlPrettyWriter - Token is '='; result is false
2019-03-18/07:16:31.959 TRACE: pretty.SqlPrettyWriter - Token is '`TAB2`'; result is false
2019-03-18/07:16:31.959 TRACE: pretty.SqlPrettyWriter - Token is '.'; result is false
2019-03-18/07:16:31.959 TRACE: pretty.SqlPrettyWriter - Token is '`ACCOUNT_ID`'; result is false
2019-03-18/07:16:31.959 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.960 TRACE: pretty.SqlPrettyWriter - Token is ''; result is false
2019-03-18/07:16:31.960 DEBUG: sql.parser - Reduced `TAB1`.`ACCOUNT_ID` = `TAB2`.`ACCOUNT_ID`
2019-03-18/07:16:31.960 TRACE: pretty.SqlPrettyWriter - Token is '0'; result is false
